key|value
10000|网络异常
10001|正在尝试连接服务器
10003|网络状态不佳，请检测网络状态
10004|正在进行资源校验(此过程不消耗流量)
10005|正在检测中
10006|网络状态不佳
10008|正在下载更新资源
10009|文件下载完毕，准备启动游戏
10010|网络状态不佳，服务器不稳定
10011|需要下载 {0:0.0} 准备更新
10012|前往更新
10013|取消
10014|提示
10015|无法连接到服务器，请查看您的网路
10016|重试一下
10017|无法连接到服务器，请查看您的网路
10018|准备开始资源校验
10019|获取服务器资源出错
10020|首次启动游戏需要等待
10021|正在获取本地版本信息
10022|本地版本信息获取失败
10023|检测资源版本过旧
10024|本地资源校验通过
10026|需要进行资源更新
10027|无法获取更新资源列表
10028|检测结束，进入游戏
10029|无需检测，准备进入游戏
10030|不检测更新，准备直接进入游戏
10031|开启您的征战之旅吧！
10032|服务器连接失败，是否尝试再次连接？
10033|文件下载异常
10034|资源下载不完整，请尝试再次下载
10041|发现新版本，本次更新资源大小约{0:0.0}，是否前往更新（建议您在WIFI环境下更新)
10042|比对服务器资源中
10043|资源校验失败
10044|资源加载失败
10045|初始化游戏失败
10046|版本号